gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,best_babylon,best_niles,best_summoner,best_resilient,raw_best,avg_ema,best_gain,best_late,avg_late
23,12855,6244.6,1030,1935.93,40.8,35.8,23.3,12855,12077,8.08,5.74,10762,6391.2,2093,44095,20386
24,12855,6432.7,406,2029.62,32.5,39.2,28.3,12855,12077,8.08,5.74,11526,6401.6,1329,44153,21045
25,12855,6638.6,1057,1810.46,30.0,45.0,25.0,12855,12077,8.08,5.74,10166,6460.8,2689,38911,21945
26,12855,6346.7,771,1974.45,35.0,33.3,31.7,12855,12077,8.08,5.74,10640,6432.3,2215,41226,20564
27,12855,6611.4,1617,1859.05,33.3,31.7,35.0,12855,12077,8.08,5.74,11543,6477.1,1312,50345,22439
28,12855,6232.0,513,1948.29,35.0,28.3,36.7,12855,12077,8.09,5.74,11676,6415.8,1179,48069,20047
29,12855,6566.2,2296,1801.92,35.8,27.5,36.7,12855,12077,8.09,5.74,11444,6453.4,1411,47427,21520
30,12855,6416.5,897,2088.64,50.8,18.3,30.8,12855,12532,8.09,5.74,12532,6444.2,323,50147,21088
31,14325,6610.3,982,1815.07,48.3,20.0,31.7,12855,14325,8.09,5.74,14325,6485.7,0,62376,21715
32,14325,6436.6,1023,1566.61,47.5,30.0,22.5,12855,14325,8.09,5.74,9229,6473.4,5096,33240,20877
33,14325,6619.7,1036,1924.92,50.8,30.0,19.2,12855,14325,8.09,5.74,10429,6510.0,3897,39370,21761
34,14325,6785.1,1373,2091.05,50.0,32.5,17.5,12855,14325,8.09,5.74,12423,6578.8,1903,54758,22434
35,14325,6545.1,1370,1972.40,63.3,28.3,8.3,12855,14325,8.09,5.74,11027,6570.4,3298,44650,21455
36,14325,6375.2,549,1959.06,63.3,25.8,10.8,12855,14325,8.09,5.74,10847,6521.6,3478,35258,20265
37,14325,6431.7,842,1880.60,63.3,28.3,8.3,12855,14325,8.13,5.74,10216,6499.1,4109,43344,20819
38,14325,7043.8,710,2205.42,55.0,36.7,8.3,12855,14325,8.13,5.74,12831,6635.3,1494,50856,24006
39,14325,6597.3,1805,1915.53,49.2,37.5,13.3,12855,14325,8.13,5.74,11684,6625.8,2641,44634,21724
40,14325,6880.1,893,1805.54,45.8,41.7,12.5,12855,14325,8.13,5.74,13333,6689.4,992,50742,23134
41,14325,6415.2,663,1952.34,47.5,36.7,15.8,12855,14325,8.35,5.74,12337,6620.8,1989,48758,20679
42,14325,6522.6,592,2001.27,54.2,35.0,10.8,12855,14325,8.35,5.74,12241,6596.3,2084,44005,21104
43,14325,6711.0,2011,1945.66,56.7,30.8,12.5,12855,14325,8.35,5.74,12412,6625.0,1913,52159,22156
44,14325,6583.5,1459,1925.60,61.7,31.7,6.7,12855,14325,8.35,5.80,12188,6614.6,2137,47684,21511
45,14325,6369.0,1646,2013.40,60.0,35.8,4.2,12855,14325,8.35,5.80,11078,6553.2,3248,43662,20444
46,14325,6494.9,631,2024.79,49.2,45.0,5.8,13841,14325,8.35,5.80,13841,6538.6,484,55817,20755
47,14325,6546.9,1056,1925.56,61.7,31.7,6.7,13841,14325,8.35,5.80,10917,6540.7,3408,41116,21575
48,14325,6536.4,588,2077.24,64.2,27.5,8.3,13841,14325,8.35,5.80,13460,6539.6,865,54791,21471
49,14325,6850.3,2220,1681.07,73.3,18.3,8.3,13841,14325,8.35,5.80,12236,6617.3,2089,48954,22987
50,14325,6771.8,686,1756.76,73.3,20.8,5.8,13841,14325,8.35,5.80,11805,6655.9,2520,47048,22732
51,14325,7003.3,1960,2057.77,70.8,21.7,7.5,13841,14325,8.35,5.80,12436,6742.8,1889,51121,24051
52,14325,6681.2,658,1919.89,62.5,25.0,12.5,13841,14325,8.35,5.82,10395,6727.4,3930,35976,21716
53,14325,6747.4,739,2203.20,60.0,30.0,10.0,14278,14325,8.35,5.82,14278,6732.4,47,58317,22573
54,14325,6910.3,1212,1758.28,62.5,24.2,13.3,14278,14325,8.35,5.82,12122,6776.9,2203,49910,22932
55,14325,6970.1,394,1920.08,63.3,19.2,17.5,14278,14325,8.39,5.82,12581,6825.2,1745,50439,23679
56,14325,7302.7,2465,1968.78,60.8,26.7,12.5,14278,14325,8.39,5.82,13253,6944.6,1072,54985,25586
57,14325,6971.8,2112,1744.33,78.3,14.2,7.5,14278,14325,8.39,5.82,10387,6951.4,3938,41496,23662
58,14325,6846.3,1013,1704.89,80.0,12.5,7.5,14278,14325,8.41,5.82,10588,6925.1,3737,40753,23227
59,14325,6545.1,786,1964.82,72.5,18.3,9.2,14278,14325,8.41,5.82,10726,6830.1,3599,39631,21659
60,14325,6515.8,779,2073.70,67.5,24.2,8.3,14278,14325,8.41,5.83,11292,6751.5,3033,41580,21326
61,14325,6694.3,649,1893.20,63.3,25.8,10.8,14278,14325,8.41,5.83,11266,6737.2,3059,45115,22108
62,14325,6807.4,599,2066.54,66.7,20.8,12.5,14278,14325,8.41,5.83,12437,6754.7,1889,51382,22817
63,14325,6983.5,401,1939.58,65.0,29.2,5.8,14278,14325,8.41,5.83,12005,6811.9,2320,46514,23678
64,14325,6842.3,409,2026.82,60.8,32.5,6.7,14278,14325,8.41,5.83,10718,6819.5,3608,43865,22992
65,14325,6462.9,625,2166.85,60.8,34.2,5.0,14278,14325,8.41,5.83,13746,6730.4,580,55495,21284
66,14325,6702.4,534,2115.71,53.3,35.0,11.7,14278,14325,8.41,5.83,11357,6723.4,2968,48134,22380
67,14325,6703.7,1596,1541.53,40.8,48.3,10.8,14278,14325,8.41,5.84,11003,6718.4,3322,38681,22527
68,14325,6777.1,563,1931.40,50.0,43.3,6.7,14278,14325,8.41,5.84,12798,6733.1,1527,50356,22577
69,14325,6657.8,378,2054.78,47.5,41.7,10.8,14278,14325,8.41,5.84,10660,6714.3,3666,38012,21723
70,14325,7007.4,2023,1938.56,52.5,36.7,10.8,14278,14325,8.41,5.84,13160,6787.6,1166,55883,23530
71,14325,6951.6,1939,1718.04,46.7,48.3,5.0,14278,14325,8.41,5.84,11325,6828.6,3000,43579,23498
72,14325,6289.0,538,2005.96,60.0,37.5,2.5,14278,14325,8.41,5.84,11579,6693.7,2746,46111,20413
73,14325,6605.5,488,2050.13,62.5,35.8,1.7,14278,14325,8.41,5.84,12210,6671.6,2115,46983,21894
74,14325,6750.3,680,1984.10,54.2,42.5,3.3,14278,14325,8.41,5.84,12047,6691.3,2278,47356,22637
75,14325,6980.5,638,2177.89,66.7,30.8,2.5,14278,14325,8.41,5.84,12978,6763.6,1347,50354,23375
76,14325,6822.6,1085,2059.24,56.7,34.2,9.2,14278,14325,8.41,5.84,12527,6778.3,1798,52400,22920
77,14325,6693.6,1277,1835.16,55.0,37.5,7.5,14278,14325,8.41,5.84,10488,6757.2,3837,41649,22335
78,14325,6592.0,855,1936.87,53.3,32.5,14.2,14278,14325,8.41,5.84,11608,6715.9,2718,50643,21955
79,14325,6846.2,1303,1841.88,45.8,42.5,11.7,14278,14325,8.41,5.84,12910,6748.4,1416,55271,23182
80,14325,6851.0,2417,1643.19,50.8,40.8,8.3,14278,14325,8.41,5.84,10730,6774.1,3595,39279,23192
81,14325,6452.8,408,1877.61,45.8,49.2,5.0,14278,14325,8.41,5.86,11308,6693.8,3017,47240,21080
82,14325,6479.3,607,1878.52,49.2,45.8,5.0,14278,14325,8.48,5.88,11553,6640.2,2772,49151,20852
83,14325,6547.7,789,1794.24,38.3,52.5,9.2,14278,14325,8.48,5.88,13684,6617.0,641,61505,21603
84,14325,6791.1,657,1880.75,41.7,50.0,8.3,14278,14325,8.48,5.88,11388,6660.5,2937,44035,22916
85,14325,6690.2,1007,1927.06,41.7,50.8,7.5,14278,14325,8.48,5.88,11650,6668.0,2675,49835,22465
86,14325,6440.1,1278,1728.99,59.2,35.8,5.0,14278,14325,8.50,5.88,10298,6611.0,4027,39486,20880
87,14325,6471.2,1048,1935.50,60.0,34.2,5.8,14278,14325,8.50,5.88,12343,6576.0,1982,46117,20636
88,14325,6545.5,627,2031.78,57.5,33.3,9.2,14278,14325,8.50,5.90,10423,6568.4,3902,37038,21283
89,14325,6886.6,1374,1718.89,56.7,35.0,8.3,14278,14325,8.50,5.93,11442,6647.9,2883,44744,23240
90,14325,6518.4,404,1850.84,52.5,38.3,9.2,14278,14325,8.50,5.93,11606,6615.6,2719,48314,21921
91,14325,6683.9,411,2090.92,55.0,37.5,7.5,14278,14325,8.50,5.96,11641,6632.6,2684,45482,22305
92,14325,6570.2,406,1867.12,43.3,50.0,6.7,14278,14325,8.50,5.96,10401,6617.0,3924,43731,22020
93,14325,6735.3,865,2019.80,58.3,34.2,7.5,14278,14325,8.50,5.96,11380,6646.6,2945,44598,22431
94,14325,6749.8,1833,1821.98,60.0,34.2,5.8,14278,14325,8.50,5.96,11573,6672.4,2752,46564,23148
95,14325,6502.4,755,1877.10,67.5,25.0,7.5,14278,14325,8.50,5.96,10672,6629.9,3653,39040,21785
96,14325,6749.3,1373,1708.59,56.7,39.2,4.2,14278,14325,8.50,5.96,10667,6659.7,3659,45673,22912
97,14325,6503.9,614,1821.64,65.0,31.7,3.3,14278,14325,8.50,5.96,10931,6620.8,3394,46344,21722
98,14325,6823.8,880,1874.05,64.2,33.3,2.5,14278,14325,8.50,5.96,12093,6671.5,2233,47710,23114
99,14325,6547.6,1177,1940.79,68.3,29.2,2.5,14278,14325,8.56,5.96,11838,6640.6,2487,47771,22107
100,14325,6759.7,911,2176.31,70.8,26.7,2.5,14278,14325,8.56,5.96,12382,6670.3,1944,52209,22958
101,14325,6800.4,878,1821.01,68.3,28.3,3.3,14278,14325,8.56,5.96,10588,6702.9,3737,46794,23161
102,14325,7112.8,961,1986.64,66.7,30.8,2.5,14278,14325,8.56,5.96,11150,6805.3,3175,43513,24582
103,14325,6992.8,1997,1750.08,65.8,29.2,5.0,14278,14325,8.58,5.96,11172,6852.2,3154,45579,24148
104,14325,6787.7,851,2008.24,72.5,25.0,2.5,14278,14325,8.68,5.96,11978,6836.1,2347,49132,23131
105,14325,7039.1,1193,1891.97,69.2,29.2,1.7,14278,14325,8.68,6.01,12679,6886.8,1646,52626,24116
106,14325,6845.1,793,1909.19,64.2,30.8,5.0,14278,14325,8.68,6.01,13011,6876.4,1315,51644,23483
107,14325,6972.3,1296,1773.59,66.7,27.5,5.8,14278,14325,8.68,6.01,11452,6900.4,2873,48353,24123
108,14325,6743.6,423,1964.83,70.0,23.3,6.7,14278,14325,8.68,6.01,11085,6861.2,3241,40733,23248
109,14325,6601.3,624,1787.35,77.5,20.8,1.7,14278,14325,8.68,6.01,10537,6796.2,3788,41157,21883
110,14325,6865.0,1632,2019.20,77.5,19.2,3.3,14278,14325,8.68,6.06,12765,6813.4,1561,53782,23836
111,14325,6965.9,882,1914.25,75.0,21.7,3.3,14278,14325,8.68,6.06,12803,6851.5,1522,54097,24181
112,14325,7035.2,449,2082.63,61.7,26.7,11.7,14278,14325,8.68,6.06,12426,6897.4,1899,55181,24067
113,14325,6978.4,1578,1776.93,69.2,17.5,13.3,14278,14325,8.68,6.06,12535,6917.7,1790,49637,24442
114,14325,6809.4,1408,2002.34,62.5,26.7,10.8,14278,14325,8.68,6.06,12197,6890.6,2128,49319,23437
115,14325,6976.5,406,2036.39,70.0,23.3,6.7,14278,14325,8.68,6.06,12681,6912.1,1644,53892,24280
116,14325,7091.3,613,2133.24,65.8,30.8,3.3,14278,14325,8.68,6.06,13982,6956.9,343,60051,24597
117,14325,6768.2,1184,1932.47,51.7,39.2,9.2,14278,14325,8.68,6.06,13501,6909.7,824,53041,23499
118,14325,7099.9,444,1945.86,46.7,42.5,10.8,14278,14325,8.68,6.06,12736,6957.3,1589,53267,24913
119,14325,7083.6,393,1855.88,51.7,37.5,10.8,14278,14325,8.68,6.10,11312,6988.9,3013,44426,24724
120,14325,6736.9,2243,1804.35,60.0,32.5,7.5,14278,14325,8.68,6.10,12017,6925.9,2308,49177,22861
121,14325,6903.5,665,2056.43,60.0,33.3,6.7,14278,14325,8.68,6.10,11959,6920.3,2366,46960,23536
122,14325,6792.8,1224,1847.06,69.2,26.7,4.2,14278,14325,8.68,6.10,11144,6888.4,3181,42487,23071
123,14325,6947.7,1171,1973.15,78.3,18.3,3.3,14278,14325,8.68,6.10,12181,6903.2,2145,47166,23833
124,14325,6797.7,406,2165.70,76.7,20.0,3.3,14278,14325,8.68,6.10,12109,6876.8,2217,45689,23265
125,14325,6972.1,968,1863.43,74.2,22.5,3.3,14278,14325,8.68,6.10,11110,6900.6,3216,41344,24241
126,14325,6705.5,520,1886.48,75.0,24.2,0.8,14278,14325,8.68,6.10,11245,6851.9,3080,44313,22850
127,14325,6832.4,1320,1978.16,51.7,45.8,2.5,14278,14325,8.68,6.10,11394,6847.0,2931,46019,23272
128,14325,6758.8,710,1820.70,54.2,41.7,4.2,14278,14325,8.68,6.10,12386,6825.0,1939,52489,22911
129,14325,7034.5,1719,1937.43,60.0,40.0,0.0,14278,14325,8.68,6.10,13169,6877.4,1157,53716,24367
130,14325,6691.0,1758,1841.53,65.8,33.3,0.8,14278,14325,8.68,6.10,12269,6830.8,2056,49659,22247
131,14325,6695.2,1154,1996.68,65.0,31.7,3.3,14278,14325,8.68,6.10,12249,6796.9,2076,51182,22360
132,14325,6874.8,2045,1750.62,70.0,27.5,2.5,14278,14325,8.68,6.10,10859,6816.4,3466,41104,23459
133,14325,6996.8,1177,1769.91,65.0,34.2,0.8,14278,14325,8.68,6.10,12053,6861.5,2272,49557,24229
134,14325,6716.2,841,1850.55,76.7,21.7,1.7,14278,14325,8.68,6.10,13061,6825.1,1264,56484,22887
135,14325,7080.0,1730,1988.03,75.8,21.7,2.5,14278,14325,8.68,6.10,13333,6888.9,993,56667,24514
136,14325,7222.7,1498,1993.53,68.3,30.8,0.8,14278,14325,8.68,6.10,13470,6972.3,856,55983,25430
137,14325,7069.6,840,2152.41,74.2,25.0,0.8,14278,14325,8.68,6.10,14152,6996.6,173,56784,24675
138,14325,7121.9,973,1905.81,75.0,23.3,1.7,14278,14325,8.68,6.10,10818,7027.9,3507,42568,24464
139,14325,7222.2,1236,1982.65,70.8,25.8,3.3,14278,14325,8.68,6.10,12526,7076.5,1800,51322,25087
140,14325,7010.5,1919,1905.44,73.3,25.8,0.8,14278,14325,8.68,6.10,12779,7060.0,1546,50352,24343
141,14325,6867.6,2630,1819.26,77.5,20.8,1.7,14278,14325,8.68,6.10,12367,7011.9,1958,48487,23417
142,14325,6961.0,712,1690.98,64.2,32.5,3.3,14278,14325,8.68,6.10,10537,6999.2,3788,39388,23805
143,14325,7015.8,2675,1545.75,68.3,30.0,1.7,14278,14325,8.68,6.10,10526,7003.3,3800,42397,24439
144,14325,6951.4,625,2058.43,72.5,26.7,0.8,14278,14325,8.68,6.10,11640,6990.3,2685,47480,24091
145,14325,6785.3,1524,1606.62,69.2,30.0,0.8,14278,14325,8.69,6.10,11010,6939.1,3316,42975,22760
146,14325,6898.1,1247,1807.12,73.3,25.8,0.8,14278,14325,8.69,6.10,11794,6928.8,2532,49353,23536
147,14325,6624.7,507,1842.32,59.2,39.2,1.7,14278,14325,8.69,6.10,11610,6852.8,2715,43184,22278
148,14325,6812.7,1021,1891.04,79.2,20.0,0.8,14278,14325,8.69,6.10,10723,6842.8,3602,44941,22940
149,14325,6974.6,2253,1692.85,88.3,10.0,1.7,14278,14325,8.73,6.10,11094,6875.7,3231,41082,23878
150,14325,6514.1,932,1803.17,86.7,11.7,1.7,14278,14325,8.73,6.10,11860,6785.3,2465,48326,20960
151,14325,6816.5,1697,1887.18,85.8,11.7,2.5,14278,14325,8.77,6.10,13022,6793.1,1303,51307,22497
152,14325,7149.6,2370,1689.21,90.0,8.3,1.7,14278,14325,8.77,6.10,11801,6882.2,2525,47146,23988
153,14325,6635.7,1106,1776.48,89.2,9.2,1.7,14278,14325,8.77,6.10,11262,6820.6,3063,46215,22081
154,14325,6742.7,1198,1701.00,89.2,9.2,1.7,14278,14325,8.77,6.10,10956,6801.1,3369,42640,22639
155,14325,6685.2,483,1857.39,83.3,15.0,1.7,14278,14325,8.77,6.10,11494,6772.1,2831,48545,22234
156,14325,7157.5,1722,2062.04,77.5,20.8,1.7,14278,14325,8.78,6.10,12242,6868.5,2083,53042,24653
157,14325,6868.1,2068,1769.47,86.7,12.5,0.8,14278,14325,8.78,6.10,13052,6868.4,1273,52537,22867
158,14325,6838.3,1473,1823.70,89.2,9.2,1.7,14278,14325,8.78,6.10,11895,6860.9,2430,49326,23016
159,14325,6574.8,511,1871.30,78.3,18.3,3.3,14278,14325,8.78,6.10,12312,6789.4,2013,50809,21510
160,14325,6712.5,1901,1556.13,70.8,23.3,5.8,14278,14325,8.78,6.10,11099,6770.1,3226,45017,22182
161,14325,6874.0,516,1803.67,65.0,27.5,7.5,14278,14325,8.78,6.10,10609,6796.1,3716,38746,23030
162,14325,6826.8,2771,1656.68,62.5,20.8,16.7,14278,14325,8.78,6.10,10986,6803.8,3339,41425,22739
163,14325,6893.2,1865,1651.97,61.7,24.2,14.2,14278,14325,8.78,6.10,11977,6826.1,2348,49711,22714
164,14325,6865.9,1456,1627.18,60.0,25.0,15.0,14278,14325,8.78,6.10,11986,6836.1,2339,47605,22945
165,14325,6785.9,930,1879.36,59.2,15.0,25.8,14278,14325,8.80,6.10,11907,6823.5,2418,45434,22586
166,14325,7070.3,710,1984.08,55.8,13.3,30.8,14278,14325,8.80,6.10,11865,6885.2,2460,45439,24297
167,14325,7012.1,1746,1676.90,59.2,14.2,26.7,14278,14325,8.80,6.10,12176,6916.9,2149,48237,23931
168,14325,6926.1,513,1888.09,65.8,13.3,20.8,14278,14325,8.80,6.10,12260,6919.2,2065,49284,23656
169,14325,7175.2,3105,1710.29,54.2,16.7,29.2,14278,14325,8.80,6.10,11214,6983.2,3111,45331,24481
170,14325,6900.9,1633,1763.36,57.5,17.5,25.0,14278,14325,8.80,6.10,11598,6962.6,2727,45610,23255
171,14400,7023.2,739,1721.07,55.0,15.0,30.0,14400,14325,8.80,6.10,14400,6977.8,0,57952,23404
172,14400,6995.3,1888,1802.56,47.5,12.5,40.0,14400,14325,8.80,6.10,12218,6982.1,2182,51386,23661
173,14400,6914.5,1518,1569.65,42.5,14.2,43.3,14400,14325,8.80,6.10,11428,6965.2,2972,45321,23365
174,14400,7147.8,1858,1845.78,52.5,15.0,32.5,14400,14325,8.80,6.10,13743,7010.9,658,59309,24529
175,14400,7192.6,1516,1825.64,59.2,11.7,29.2,14400,14325,8.80,6.10,11690,7056.3,2710,43936,24724
176,14400,6962.9,868,1739.95,52.5,20.8,26.7,14400,14325,8.80,6.10,11295,7033.0,3105,44767,23289
177,14400,7123.4,435,1907.19,55.0,18.3,26.7,14400,14325,8.80,6.10,13153,7055.6,1247,53957,24338
178,14400,7083.0,3239,1716.40,56.7,12.5,30.8,14400,14325,8.80,6.10,12086,7062.4,2314,49951,24157
179,14400,7175.6,1836,1741.80,56.7,14.2,29.2,14400,14325,8.80,6.10,11603,7090.7,2797,46126,24624
