gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,best_babylon,best_niles,best_summoner,best_resilient,raw_best,avg_ema,best_gain,best_late,avg_late
0,9675,4840.8,485,1951.05,41.7,39.2,19.2,9675,9517,7.23,5.25,9675,4840.8,0,35406,12947
1,10132,5278.6,382,1873.60,38.3,41.7,20.0,10132,9517,7.23,5.31,10132,4950.2,0,38161,15420
2,11965,6001.8,1386,2025.82,36.7,44.2,19.2,11965,10570,7.53,5.31,11965,5213.1,0,48405,18895
3,11965,6023.7,821,1908.54,33.3,52.5,14.2,11965,11269,7.58,5.48,11269,5415.8,696,40640,18848
4,11965,6631.2,2316,1933.39,35.8,51.7,12.5,11965,11752,7.58,5.63,11752,5719.6,213,46633,21890
5,11965,6294.8,1377,2020.71,32.5,49.2,18.3,11965,11752,7.58,5.63,11087,5863.4,878,43093,20781
6,11965,5948.4,406,1838.45,33.3,45.8,20.8,11965,11752,7.58,5.63,10684,5884.6,1281,42314,18854
7,11965,6225.0,1517,1923.63,40.8,42.5,16.7,11965,11752,7.58,5.63,11668,5969.7,298,48699,20004
8,11965,6057.3,542,1910.50,38.3,45.8,15.8,11965,11752,7.58,5.63,10351,5991.6,1614,42463,19310
9,11965,5987.5,1041,1828.71,40.0,47.5,12.5,11965,11752,7.58,5.63,9621,5990.6,2345,33148,19039
10,12077,6344.2,1654,2014.58,43.3,42.5,14.2,11965,12077,7.58,5.63,12077,6079.0,0,47326,20876
11,12144,5970.0,1549,1786.46,45.0,47.5,7.5,12144,12077,7.58,5.63,12144,6051.7,0,47569,18822
12,12144,6078.5,441,2058.25,41.7,49.2,9.2,12144,12077,7.58,5.63,10080,6058.4,2063,40692,19250
13,12144,6269.6,1740,1592.34,42.5,41.7,15.8,12144,12077,7.58,5.63,10316,6111.2,1827,37543,20431
14,12144,6430.5,1058,1974.85,38.3,44.2,17.5,12144,12077,7.58,5.63,10546,6191.0,1598,37188,21180
15,12855,6318.0,612,1899.24,43.3,45.8,10.8,12855,12077,7.64,5.63,12855,6222.8,0,51026,20315
16,12855,6241.8,1365,2009.99,52.5,34.2,13.3,12855,12077,7.64,5.63,11470,6227.5,1385,47762,20330
17,12855,6575.9,1936,1837.27,48.3,37.5,14.2,12855,12077,7.64,5.63,11431,6314.6,1424,47215,22253
18,12855,6198.0,1163,1853.68,40.8,40.8,18.3,12855,12077,7.66,5.63,11168,6285.5,1687,40129,19709
19,12855,6305.9,951,1841.75,32.5,48.3,19.2,12855,12077,7.66,5.65,12047,6290.6,808,49606,20105
20,12855,6421.8,883,1789.42,38.3,46.7,15.0,12855,12077,7.66,5.65,10176,6323.4,2679,35203,21135
21,12855,6448.3,1851,1753.45,36.7,47.5,15.8,12855,12077,7.66,5.65,10718,6354.6,2137,39533,21250
22,12855,6696.4,1034,1920.16,41.7,38.3,20.0,12855,12077,8.08,5.74,11518,6440.0,1337,42192,22525
