gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,best_babylon,best_niles,best_aggressor,best_resilient
0,2572,1527.8,148,561.13,37.5,41.7,20.8,2554,2572,5.61,5.46
1,2694,1563.8,0,539.50,30.8,51.7,17.5,2540,2694,5.70,5.46
2,2852,1610.9,154,512.27,26.7,57.5,15.8,2526,2852,5.70,5.46
3,2688,1532.7,154,491.33,25.8,62.5,11.7,2426,2688,5.70,5.46
4,2572,1498.7,154,435.05,20.8,60.8,18.3,2326,2572,5.70,5.46
5,2518,1564.9,154,447.31,17.5,67.5,15.0,2204,2518,5.70,5.46
6,2402,1520.1,308,447.11,18.3,73.3,8.3,2214,2402,5.70,5.46
7,2378,1555.8,128,483.17,21.7,73.3,5.0,2114,2378,5.70,5.46
8,2354,1499.5,0,497.10,16.7,76.7,6.7,1920,2354,5.70,5.46
9,2678,1531.8,462,467.47,14.2,78.3,7.5,2256,2678,5.70,5.46
10,2578,1491.8,0,450.86,11.7,82.5,5.8,2578,2386,5.70,5.46
11,2406,1527.4,154,462.75,15.0,81.7,3.3,2222,2406,5.70,5.46
12,2512,1512.3,154,480.51,15.8,82.5,1.7,2228,2512,5.70,5.46
13,2678,1531.2,154,501.99,16.7,78.3,5.0,2402,2678,5.70,5.46
