gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,best_babylon,best_niles,best_summoner,best_resilient
95,2224,1488.0,300,405.43,42.5,52.5,5.0,2122,2224,8.04,6.11
96,2396,1483.8,0,460.26,50.0,43.3,6.7,2396,2300,8.04,6.11
97,2546,1435.7,294,369.66,49.2,43.3,7.5,2546,1982,8.04,6.11
98,2432,1390.2,0,497.53,55.8,35.0,9.2,2220,2432,8.04,6.11
99,2422,1431.2,142,449.31,49.2,41.7,9.2,2422,2304,8.04,6.11
100,2346,1520.5,154,423.10,45.8,43.3,10.8,2346,2346,8.04,6.11
101,2438,1472.7,0,452.28,40.8,52.5,6.7,2278,2438,8.04,6.11
102,2328,1452.1,0,441.08,39.2,47.5,13.3,2100,2248,8.04,6.11
103,2522,1413.3,0,481.11,40.8,50.0,9.2,2386,2522,8.04,6.11
104,2358,1445.5,136,438.26,43.3,50.8,5.8,2358,2340,8.04,6.11
105,2214,1472.0,0,447.48,30.0,60.8,9.2,2086,2214,8.04,6.11
106,2224,1484.3,0,468.62,40.0,53.3,6.7,2224,2216,8.04,6.11
107,2218,1425.1,0,468.75,44.2,50.8,5.0,2106,2218,8.04,6.11
108,2356,1443.0,0,433.49,47.5,46.7,5.8,2356,2272,8.04,6.11
109,2402,1448.9,150,446.41,44.2,50.0,5.8,2100,2402,8.04,6.11
110,2190,1424.0,142,393.23,55.8,40.0,4.2,2190,2090,8.04,6.11
111,2356,1365.3,0,427.40,50.8,45.0,4.2,2356,2232,8.04,6.11
112,2362,1465.8,0,439.11,46.7,50.0,3.3,2194,2362,8.04,6.11
113,2530,1441.1,258,433.06,40.0,57.5,2.5,2530,2334,8.04,6.11
114,2284,1430.8,0,457.95,45.8,50.8,3.3,2198,2284,8.04,6.11
115,2376,1456.6,148,433.73,47.5,49.2,3.3,2376,2342,8.04,6.11
116,2220,1442.8,0,390.58,55.8,36.7,7.5,2220,2066,8.04,6.11
117,2256,1412.0,154,423.31,55.0,39.2,5.8,2256,2238,8.04,6.11
118,2362,1404.7,0,477.55,54.2,44.2,1.7,2124,2362,8.04,6.11
119,2688,1450.9,140,513.48,52.5,45.0,2.5,2688,2396,8.04,6.11
