gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,diversity_index,dominant_pct,best_babylon,best_niles,best_summoner,best_resilient,raw_best,avg_ema,best_gain,best_improvement_pct,avg_improvement_pct,progress_score,plateau_count,mutation_rate,mutation_mag,immigrant_rate,best_late,avg_late,best_card,avg_card
147,20275,10424.9,42,3177.07,10.0,29.7,60.3,80.7,60.3,19392,18462,10.53,7.36,17742,10436.8,2533,4.55,22.03,29202.6,2,0.0668,0.0701,0.0868,68980,28202,135662,56413
148,20275,10489.2,285,2983.81,26.3,11.9,61.9,80.1,61.9,19392,18462,10.53,7.36,17441,10449.9,2835,4.55,22.18,29209.7,3,0.0665,0.0698,0.0865,61872,28253,122832,56333
149,20275,10391.0,37,3014.93,12.5,29.4,58.1,84.0,58.1,19392,18462,10.53,7.36,16884,10435.2,3392,4.55,22.01,29239.5,4,0.0663,0.0695,0.0863,61181,28455,116642,56910
150,20275,10699.5,651,2909.85,17.5,12.8,69.7,70.1,69.7,19392,18462,10.53,7.36,17061,10501.3,3215,4.55,22.79,29537.6,5,0.0661,0.0691,0.0861,56359,30275,111903,60419
151,20275,10836.1,37,2877.35,14.7,17.8,67.5,73.7,67.5,19392,18462,10.53,7.36,17622,10585.0,2653,4.55,23.76,29682.4,0,0.0659,0.0688,0.0859,73315,31004,138392,61813
152,20275,10799.3,215,2720.13,27.5,10.0,62.5,78.6,62.5,19392,18462,10.53,7.36,17943,10638.5,2333,4.55,24.39,29686.7,1,0.0656,0.0685,0.0856,63343,30879,118664,61533
153,20275,10375.1,37,3335.86,17.2,27.5,55.3,88.3,55.3,19392,18462,10.53,7.36,16752,10572.7,3524,4.55,23.62,29225.6,2,0.0654,0.0681,0.0854,60898,28004,117706,55775
154,20275,10796.5,810,2433.80,22.8,15.9,61.3,82.1,61.3,19392,18462,10.53,7.36,16991,10628.6,3284,4.55,24.28,29791.7,3,0.0652,0.0678,0.0852,63377,31613,122692,62981
155,20275,10715.6,41,2895.70,22.8,15.0,62.2,80.8,62.2,19392,18462,10.53,7.36,17075,10650.4,3200,4.55,24.53,29596.8,0,0.0650,0.0675,0.0850,54694,30204,107878,60354
156,20275,10804.6,532,2551.06,22.8,19.1,58.1,86.1,58.1,19392,18462,10.53,7.36,16314,10688.9,3961,4.55,24.98,29678.0,1,0.0648,0.0672,0.0848,46864,30623,94112,61220
