gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,best_babylon,best_niles,best_aggressor,best_resilient
50,2674,1575.6,0,458.55,21.7,52.5,25.8,2122,2674,3.99,5.50
51,2688,1550.6,152,446.64,25.0,49.2,25.8,2084,2688,4.00,5.50
52,2464,1578.9,0,460.17,21.7,49.2,29.2,2388,2464,4.00,5.50
53,2416,1498.6,136,431.73,24.2,48.3,27.5,2358,2204,4.00,5.50
54,2526,1573.7,0,444.02,16.7,46.7,36.7,2186,2370,4.00,5.50
55,2568,1575.3,148,455.64,17.5,40.8,41.7,2536,2568,4.00,5.50
56,2376,1578.6,154,492.51,14.2,45.0,40.8,2204,2334,4.00,5.50
57,2740,1602.0,154,479.61,13.3,46.7,40.0,2194,2330,4.00,5.50
58,2382,1551.7,306,456.19,17.5,44.2,38.3,2280,2274,4.00,5.50
59,2508,1566.7,300,466.14,18.3,45.8,35.8,2250,2508,4.00,5.50
60,2624,1606.5,152,460.38,16.7,51.7,31.7,2276,2398,4.00,5.50
61,2544,1557.4,460,450.67,17.5,41.7,40.8,2272,2544,4.00,5.50
62,2396,1563.5,154,453.70,20.8,47.5,31.7,2396,2378,4.00,5.50
63,2410,1550.0,264,434.76,21.7,44.2,34.2,2410,2250,4.00,5.50
64,2386,1535.8,252,405.75,22.5,50.0,27.5,2382,2386,4.00,5.50
65,2412,1528.2,136,458.53,18.3,57.5,24.2,2272,2412,4.00,5.50
66,2574,1597.4,0,448.43,20.8,60.0,19.2,2110,2574,4.00,5.50
67,2404,1588.8,308,467.40,18.3,60.8,20.8,2380,2404,4.00,5.50
68,2390,1580.3,434,411.81,10.8,75.0,14.2,2240,2390,4.00,5.50
69,2496,1592.0,0,427.07,14.2,73.3,12.5,2496,2394,4.00,5.50
70,2386,1591.6,0,436.95,15.0,73.3,11.7,1946,2386,4.00,5.50
71,2692,1469.9,272,410.50,14.2,81.7,4.2,2060,2692,4.00,5.50
72,2614,1552.4,154,446.29,10.8,83.3,5.8,2368,2614,4.00,5.50
73,2516,1589.3,450,421.23,8.3,86.7,5.0,1916,2516,4.00,5.50
74,2542,1565.1,0,499.59,8.3,87.5,4.2,1936,2542,4.00,5.50
75,2526,1527.4,0,485.76,16.7,77.5,5.8,2362,2526,4.00,5.50
76,2362,1542.1,122,447.72,16.7,81.7,1.7,2362,2324,4.00,5.50
77,2666,1557.3,300,477.12,18.3,75.8,5.8,2082,2666,4.00,5.50
78,2254,1530.0,308,412.13,18.3,77.5,4.2,1994,2254,4.00,5.50
79,2518,1536.7,154,435.83,14.2,81.7,4.2,2424,2518,4.00,5.50
80,2452,1579.1,0,456.54,12.5,84.2,3.3,2096,2452,4.00,5.50
81,2700,1603.4,114,453.65,15.8,80.0,4.2,1760,2700,4.00,5.50
82,2558,1526.0,0,490.08,15.8,79.2,5.0,1972,2558,4.00,5.50
83,2434,1538.1,152,496.25,16.7,77.5,5.8,2096,2434,4.00,5.50
84,2338,1546.7,0,461.36,11.7,80.8,7.5,1910,2338,4.00,5.50
85,2726,1557.1,154,451.17,10.8,80.8,8.3,1810,2370,4.00,5.50
86,2258,1485.2,0,468.05,13.3,75.0,11.7,1686,2250,4.00,5.50
87,2726,1589.0,114,483.80,10.0,80.0,10.0,2098,2726,4.00,5.50
88,2554,1545.2,276,436.17,10.8,80.8,8.3,2202,2554,4.00,5.50
89,2718,1554.5,582,435.29,10.0,79.2,10.8,1862,2718,4.00,5.50
90,2334,1532.3,0,451.77,11.7,79.2,9.2,2110,2334,4.00,5.50
91,2478,1561.8,0,470.43,9.2,84.2,6.7,1898,2478,4.00,5.50
92,2536,1543.9,0,507.06,5.0,83.3,11.7,1646,2536,4.00,5.50
93,2522,1543.2,152,463.44,9.2,75.8,15.0,1668,2522,4.00,5.50
94,2414,1526.7,308,442.68,10.8,71.7,17.5,2118,2414,4.00,5.50
95,2508,1529.7,308,443.93,10.0,66.7,23.3,1860,2508,4.00,5.50
96,2668,1504.5,0,446.99,7.5,74.2,18.3,1766,2668,4.00,5.50
97,2426,1575.0,146,449.35,9.2,76.7,14.2,1788,2426,4.00,5.50
98,2388,1578.0,154,413.46,10.8,70.8,18.3,2254,2388,4.00,5.50
99,2348,1532.7,150,426.12,15.0,70.8,14.2,2206,2348,4.00,5.50
100,2534,1552.5,0,468.92,16.7,72.5,10.8,2260,2534,4.00,5.50
101,2362,1554.5,0,463.56,19.2,67.5,13.3,2132,2362,4.00,5.50
102,2400,1553.4,444,415.75,15.0,65.0,20.0,2060,2400,4.00,5.50
103,2534,1539.7,308,470.38,20.0,66.7,13.3,2534,2514,4.00,5.50
104,2388,1591.8,150,395.76,19.2,65.8,15.0,2038,2388,4.00,5.50
105,2534,1571.4,154,476.21,25.0,59.2,15.8,2224,2534,4.00,5.50
106,2380,1514.1,0,462.41,20.0,66.7,13.3,2076,2380,4.00,5.50
107,2560,1577.6,0,499.43,24.2,62.5,13.3,2358,2560,4.00,5.50
108,2538,1580.7,0,471.38,18.3,70.8,10.8,2076,2538,4.00,5.50
109,2362,1604.8,0,434.35,15.0,73.3,11.7,2060,2260,4.00,5.50
110,2608,1584.5,0,491.14,11.7,80.0,8.3,2072,2608,4.00,5.50
111,2488,1529.1,0,485.97,15.8,73.3,10.8,2464,2488,4.00,5.50
112,2480,1526.9,144,442.11,20.8,74.2,5.0,2210,2480,4.00,5.50
113,2526,1561.7,0,479.77,21.7,71.7,6.7,2526,2402,4.00,5.50
114,2578,1562.8,302,442.55,21.7,74.2,4.2,2348,2578,4.00,5.50
115,2844,1541.5,284,433.18,16.7,81.7,1.7,2236,2844,4.00,5.50
116,2554,1520.4,276,411.16,23.3,75.8,0.8,1972,2554,4.00,5.50
117,2542,1512.6,0,457.11,14.2,81.7,4.2,1978,2542,4.00,5.50
118,2402,1585.6,0,473.10,11.7,86.7,1.7,2086,2338,4.00,5.50
119,2634,1525.0,0,469.15,11.7,82.5,5.8,1726,2634,4.00,5.50
