gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,best_babylon,best_niles,best_aggressor,best_resilient
0,2542,1557.8,126,520.36,42.5,37.5,20.0,2424,2542,3.76,4.93
1,2436,1453.0,270,487.73,32.5,49.2,18.3,2090,2436,3.76,5.02
2,2570,1507.9,154,502.04,24.2,62.5,13.3,2338,2570,3.78,5.26
3,2684,1598.3,302,486.67,23.3,62.5,14.2,2516,2684,3.78,5.26
4,2292,1536.2,288,421.43,26.7,60.0,13.3,2252,2292,3.78,5.30
5,2418,1542.3,0,514.78,20.0,69.2,10.8,1924,2418,3.84,5.31
6,2414,1587.1,146,457.77,20.8,69.2,10.0,2236,2414,3.84,5.31
7,2612,1578.6,0,435.39,23.3,67.5,9.2,2114,2612,3.84,5.34
8,2580,1593.4,248,440.58,27.5,63.3,9.2,2192,2580,3.84,5.37
9,2254,1509.1,138,423.06,26.7,65.8,7.5,2146,2254,3.84,5.37
10,2388,1492.5,448,448.87,25.8,63.3,10.8,2266,2354,3.84,5.37
11,2394,1571.9,436,392.11,24.2,62.5,13.3,2182,2394,3.84,5.37
12,2546,1547.8,454,420.98,25.0,65.0,10.0,2372,2546,3.84,5.45
13,2388,1532.1,0,438.61,31.7,53.3,15.0,2114,2388,3.91,5.45
14,2826,1542.7,436,465.39,26.7,53.3,20.0,2094,2826,3.91,5.45
15,2556,1530.5,0,448.06,22.5,58.3,19.2,2410,2556,3.91,5.45
16,2396,1525.0,0,436.97,19.2,60.8,20.0,2382,2396,3.91,5.45
17,2414,1576.0,402,404.18,18.3,63.3,18.3,2414,2332,3.91,5.45
18,2374,1578.1,0,440.80,21.7,60.0,18.3,2374,2352,3.91,5.45
19,2408,1556.3,148,421.70,25.8,55.0,19.2,2366,2408,3.91,5.45
20,2482,1559.9,286,418.26,23.3,53.3,23.3,2358,2482,3.91,5.45
21,2564,1576.7,148,458.25,28.3,50.0,21.7,2416,2564,3.91,5.45
22,2532,1555.6,274,424.64,35.8,50.8,13.3,2410,2248,3.91,5.45
23,2386,1516.1,300,450.64,36.7,45.8,17.5,2268,2386,3.91,5.47
24,2388,1588.3,308,442.77,39.2,47.5,13.3,2264,2388,3.91,5.48
25,2398,1570.9,146,454.14,35.8,52.5,11.7,2398,2384,3.91,5.48
26,2378,1553.5,140,450.66,32.5,56.7,10.8,2210,2378,3.95,5.48
27,2372,1536.1,154,462.21,17.5,73.3,9.2,2260,2372,3.95,5.48
28,2556,1511.4,0,502.18,23.3,67.5,9.2,2236,2556,3.95,5.48
29,2654,1576.0,0,462.11,21.7,65.0,13.3,2394,2654,3.95,5.48
30,2662,1581.4,0,468.52,30.0,61.7,8.3,2662,2222,3.95,5.48
31,2492,1551.2,0,427.61,27.5,60.8,11.7,2232,2492,3.95,5.48
32,2418,1555.2,306,439.38,28.3,60.8,10.8,2182,2418,3.95,5.48
33,2650,1558.8,308,434.03,29.2,61.7,9.2,2246,2650,3.98,5.50
34,2388,1558.5,154,462.04,36.7,55.8,7.5,2244,2388,3.98,5.50
35,2354,1554.0,0,463.48,32.5,57.5,10.0,2062,2354,3.99,5.50
36,2694,1554.1,152,489.68,26.7,60.0,13.3,2108,2472,3.99,5.50
37,2540,1517.8,154,457.51,15.8,71.7,12.5,2394,2540,3.99,5.50
38,2584,1521.9,308,458.93,19.2,69.2,11.7,2118,2584,3.99,5.50
39,2478,1517.1,140,451.08,14.2,75.8,10.0,2348,2478,3.99,5.50
40,2482,1519.3,0,492.27,21.7,66.7,11.7,2114,2482,3.99,5.50
41,2500,1584.5,0,455.97,16.7,70.0,13.3,2132,2500,3.99,5.50
42,2614,1575.3,0,441.93,20.8,63.3,15.8,2328,2614,3.99,5.50
43,2692,1553.2,0,526.38,21.7,65.0,13.3,2254,2692,3.99,5.50
44,2716,1555.1,432,455.54,19.2,63.3,17.5,2716,2548,3.99,5.50
45,2410,1578.0,138,483.09,24.2,58.3,17.5,2114,2410,3.99,5.50
46,2398,1535.9,152,455.03,20.0,62.5,17.5,1934,2398,3.99,5.50
47,2578,1534.6,0,446.34,20.0,59.2,20.8,2074,2578,3.99,5.50
48,2392,1551.6,0,404.46,20.0,58.3,21.7,2076,2392,3.99,5.50
49,2532,1550.0,0,478.59,22.5,52.5,25.0,2466,2358,3.99,5.50
