gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,best_babylon,best_niles,best_summoner,best_resilient,raw_best,avg_ema,best_gain,best_late,avg_late,best_card,avg_card
0,27227,11112.2,577,5014.30,35.6,46.1,18.3,24090,27227,8.84,5.51,27227,11112.2,0,50632,17774,99008,35655
1,27227,13344.4,899,5378.02,33.3,48.6,18.1,24275,27227,8.84,5.51,26500,11670.3,727,52629,23180,103570,46337
2,28711,14651.7,698,4872.30,32.8,50.8,16.4,26998,28711,8.84,5.51,28711,12415.6,0,58527,26234,114045,52121
3,34765,15497.6,2001,4885.17,34.7,49.7,15.6,28013,28711,8.86,5.51,34765,13186.1,0,74391,28143,138423,55788
4,34765,16033.7,785,5434.41,33.1,51.9,15.0,31404,29951,8.86,5.62,31404,13898.0,3362,64050,29357,122616,58014
5,34765,16298.8,1304,4860.62,30.6,55.8,13.6,31404,29951,8.86,5.62,29175,14498.2,5591,58546,29952,107381,59431
6,34765,16217.3,1682,4825.03,31.7,58.1,10.3,31404,29951,8.86,5.67,27915,14928.0,6850,57916,29841,112933,59484
7,34765,16429.0,1490,5172.53,24.4,65.0,10.6,31404,32627,8.93,5.68,32627,15303.2,2138,68118,30433,133243,60481
8,38033,17128.4,1669,5233.22,23.3,64.4,12.2,34188,38033,8.93,5.68,38033,15759.5,0,80013,32105,146337,63876
9,38033,16913.1,705,5219.83,23.9,59.7,16.4,34188,38033,8.93,5.72,35925,16047.9,2108,73488,31532,137852,62651
10,38033,17649.1,1662,5124.15,23.6,58.9,17.5,34188,38033,8.96,5.77,33382,16448.2,4651,67703,33176,129640,65910
11,38033,17513.1,1885,5374.27,23.6,63.1,13.3,34188,38033,8.96,5.77,32370,16714.4,5663,63064,32863,126332,65355
12,38033,18150.9,3597,5301.44,24.7,58.6,16.7,34188,38033,8.96,5.85,36208,17073.6,1825,77131,34445,149351,68184
13,38033,17264.3,560,5860.59,28.6,51.9,19.4,34188,38033,8.96,5.85,33227,17121.2,4807,68023,32334,131847,64372
14,38033,17956.8,802,5561.73,28.6,53.3,18.1,34188,38033,8.96,5.91,34742,17330.1,3291,72361,34067,140023,67369
15,38033,17769.3,688,5525.10,30.0,51.7,18.3,34188,38033,8.96,5.91,33461,17439.9,4572,70420,33654,128380,66724
16,38033,17514.7,929,5112.38,30.8,52.8,16.4,34188,38033,8.96,5.91,30377,17458.6,7656,61750,33116,113182,65562
17,38033,17965.8,1782,5187.37,32.5,52.2,15.3,34188,38033,8.96,5.91,29990,17585.4,8044,57917,33983,109092,67532
18,38033,18471.2,938,5647.28,30.6,53.6,15.8,34188,38033,8.96,5.91,33342,17806.8,4691,71474,35209,138294,69797
19,38033,18339.0,1498,5062.47,33.6,53.9,12.5,34188,38033,8.96,5.91,33625,17939.9,4408,69878,34919,132924,69241
20,38033,19212.5,575,5692.53,33.6,52.8,13.6,34188,38033,8.96,5.91,32865,18258.1,5168,66686,37065,133800,73334
21,38033,19316.2,784,5629.31,33.1,55.0,11.9,34543,38033,8.96,5.91,34543,18522.6,3490,72597,37171,137209,73769
22,38033,19121.7,3079,5136.88,36.7,49.2,14.2,34543,38033,8.96,5.94,34026,18672.4,4007,69901,36803,123316,73041
23,38033,19462.5,1875,5424.82,28.3,54.7,16.9,34543,38033,8.96,5.94,37385,18869.9,648,75898,37591,141810,74817
24,39992,19250.2,573,5448.98,27.5,58.6,13.9,34543,39992,8.96,5.94,39992,18965.0,0,86624,37175,163499,73794
25,39992,19661.1,580,5832.37,31.1,57.2,11.7,34543,39992,9.18,5.94,36273,19139.0,3719,75685,37958,147540,75355
26,39992,19901.9,1520,6044.83,29.2,58.9,11.9,34543,39992,9.18,5.94,34461,19329.7,5531,71515,38766,138591,76962
27,39992,20385.3,1838,5724.01,35.3,52.2,12.5,34543,39992,9.18,5.94,35227,19593.6,4765,72054,39884,141274,79240
28,39992,20206.1,3805,5429.62,39.7,46.9,13.3,35416,39992,9.18,5.94,36167,19746.8,3825,73832,39528,147561,78460
29,39992,19987.5,1099,5799.05,33.1,43.9,23.1,35416,39992,9.23,5.94,36147,19807.0,3845,75847,38976,143267,77427
30,39992,20046.5,564,5326.10,33.1,46.1,20.8,38822,39992,9.23,5.94,38822,19866.8,1170,82386,39012,158219,77527
31,39992,19929.7,577,5649.91,41.7,38.1,20.3,38822,39992,9.23,5.94,35678,19882.5,4314,72978,38759,138755,77042
32,39992,19863.9,564,5790.04,41.1,38.3,20.6,38822,39992,9.23,5.94,36870,19877.9,3122,73536,38465,143644,76636
33,39992,20338.9,2085,5693.13,39.2,37.5,23.3,38822,39992,9.26,5.94,36350,19993.1,3642,71822,39551,145025,78517
34,41251,20934.2,598,5870.76,37.8,34.7,27.5,41251,39992,9.26,5.94,41251,20228.4,0,88266,40914,172770,81275
35,41251,20928.6,3001,5501.45,36.4,40.6,23.1,41251,39992,9.37,5.94,40812,20403.4,439,86896,40755,167549,80931
36,41251,20723.0,1075,5903.44,31.1,47.5,21.4,41251,39992,9.37,5.94,37348,20483.3,3903,78132,40513,146934,80515
37,41251,21531.6,4222,5810.54,30.6,47.8,21.7,41251,39992,9.37,5.94,39025,20745.4,2226,83656,42461,161565,84248
38,41251,21986.9,1394,5710.09,33.3,42.5,24.2,41251,39992,9.37,5.94,38060,21055.8,3191,81554,43466,158317,86248
39,41251,21722.5,1572,6300.62,35.3,43.1,21.7,41251,39992,9.37,6.00,37825,21222.5,3426,78849,43054,150272,85339
40,41251,21999.2,2432,5759.43,35.6,53.3,11.1,41251,39992,9.37,6.00,35840,21416.6,5411,74470,43552,149234,86465
41,41251,21968.9,3723,5805.89,39.4,46.9,13.6,41251,39992,9.37,6.00,38915,21554.7,2336,83380,43461,155440,86116
42,41251,21881.2,3724,5985.51,35.0,48.1,16.9,41251,39992,9.37,6.00,35744,21636.3,5507,74404,43391,140711,86156
43,41251,22312.8,3190,6194.96,38.3,41.9,19.7,41251,39992,9.43,6.00,37912,21805.5,3339,78173,44232,155606,87848
44,41251,22559.1,2849,6090.65,40.0,41.4,18.6,41251,39992,9.43,6.00,37864,21993.9,3387,79777,45055,157601,89216
45,41251,21985.6,751,6301.46,34.7,44.4,20.8,41251,39992,9.43,6.00,38098,21991.8,3153,82479,43647,160911,86599
46,42201,22803.4,731,6179.69,33.1,41.1,25.8,42201,39992,9.43,6.00,42201,22194.7,0,86236,45665,169379,90419
47,42201,22947.5,2040,5870.20,38.1,38.3,23.6,42201,39992,9.43,6.00,36853,22382.9,5347,75463,46008,145813,91035
48,42201,22744.8,577,6405.20,40.8,32.5,26.7,42201,39992,9.43,6.00,40490,22473.4,1711,82444,45480,161288,90104
49,42201,23562.6,784,5932.84,40.6,36.7,22.8,42201,39992,9.43,6.00,38893,22745.7,3308,77057,47416,153936,93823
50,42201,24350.4,949,6285.45,38.1,36.9,25.0,42201,39992,9.44,6.00,40306,23146.9,1895,85189,49243,163557,97390
51,42201,23639.5,704,6124.11,41.9,35.0,23.1,42201,39992,9.44,6.00,39605,23270.0,2595,81924,47571,161412,94327
52,42201,23544.8,2210,6515.32,43.3,33.3,23.3,42201,41537,9.44,6.00,41537,23338.7,664,88035,47347,172198,93781
53,42201,23711.5,594,6433.45,36.1,40.8,23.1,42201,41537,9.49,6.00,37812,23431.9,4389,78160,47861,152714,94865
54,42201,23651.8,1594,6047.20,41.4,36.4,22.2,42201,41537,9.49,6.00,36946,23486.9,5254,79264,47718,149691,94502
55,42201,23489.5,628,6038.27,42.5,36.1,21.4,42201,41537,9.49,6.00,37393,23487.5,4808,77699,47253,148765,93706
56,42201,23663.2,623,5938.81,37.2,42.2,20.6,42201,41537,9.49,6.00,38680,23531.5,3520,83909,47779,160006,94811
57,42201,24424.7,939,6265.11,31.1,46.1,22.8,42201,41537,9.49,6.00,39710,23754.8,2491,84472,49365,168846,97988
58,42201,23693.6,1230,6320.78,31.9,47.5,20.6,42201,41537,9.49,6.00,38243,23739.5,3958,79000,47561,157842,94652
59,44285,24150.0,2010,6034.33,32.5,50.8,16.7,44285,41537,9.49,6.00,44285,23842.1,0,92258,48731,175582,96717
60,44285,24222.8,2188,6550.72,38.3,46.1,15.6,44285,41537,9.79,6.00,39467,23937.3,4818,83078,49192,161809,97479
61,44285,24571.7,2422,6282.29,37.5,46.1,16.4,44285,41537,9.79,6.00,39462,24095.9,4822,83957,49969,169517,99095
62,44285,24967.0,5413,6024.76,40.3,44.7,15.0,44285,41537,9.79,6.00,43835,24313.7,450,90579,50850,181051,100700
63,44285,24793.8,4113,6039.26,39.4,44.7,15.8,44285,41537,9.79,6.00,40137,24433.7,4148,81799,50482,163913,100011
64,44285,24688.1,2833,6400.09,40.6,43.3,16.1,44285,41537,9.79,6.00,38551,24497.3,5734,82647,50391,160584,99872
65,44285,24429.2,2306,6068.05,42.8,40.0,17.2,44285,41537,9.79,6.00,39827,24480.3,4457,86883,49671,168303,98621
66,44285,24850.1,2687,6022.46,40.3,43.3,16.4,44285,41537,9.79,6.00,43113,24572.7,1171,91738,50791,176387,100601
67,45248,25097.3,3623,6332.38,37.8,45.8,16.4,45248,41537,9.79,6.00,45248,24703.9,0,99695,51110,187136,101504
68,45248,24788.1,698,6188.31,39.4,43.6,16.9,45248,41537,9.79,6.00,38185,24724.9,7064,80680,50531,155083,100402
69,45248,24631.9,1620,6505.46,37.5,46.4,16.1,45248,41537,9.79,6.00,42730,24701.7,2519,88023,50135,170372,99377
70,45248,25007.1,929,6121.45,34.2,51.4,14.4,45248,41537,9.79,6.00,39632,24778.0,5616,84575,51137,162300,101209
71,45248,25287.0,2300,6371.84,35.0,50.6,14.4,45248,41537,9.79,6.00,39068,24905.3,6180,83965,51674,158191,102274
72,45248,25414.4,2875,5764.47,32.2,50.8,16.9,45248,41537,9.79,6.00,39193,25032.6,6055,87417,52047,163580,103221
73,45248,25322.1,6654,6045.52,39.2,46.9,13.9,45248,41537,9.79,6.00,43952,25105.0,1296,94662,51814,179967,102525
74,45248,24971.9,1545,6315.48,42.5,42.8,14.7,45248,41537,9.79,6.00,37854,25071.7,7395,79060,51010,151898,101141
75,45248,24385.1,3151,6657.49,43.9,40.6,15.6,45248,43121,9.79,6.00,43121,24900.1,2127,91858,49760,175656,98464
76,45248,24669.1,1325,5945.39,40.3,42.2,17.5,45248,43121,9.79,6.00,38093,24842.3,7155,76281,50048,151629,99223
