gen,best,avg,worst,std_dev,pct_babylon,pct_niles,pct_other,best_babylon,best_niles,best_summoner,best_resilient,raw_best,avg_ema,best_gain,best_late,avg_late,best_card,avg_card
0,21035,7564.7,487,3287.99,41.8,38.9,19.3,13344,21035,7.39,5.35,21035,7564.7,0,48447,13744,86370,27666
1,21035,8701.1,452,3448.19,36.1,47.9,16.1,17262,21035,7.46,5.35,19296,7848.8,1739,45238,16956,90041,33908
2,21035,9462.4,1713,3389.89,36.8,52.5,10.7,18024,21035,7.57,5.61,18976,8252.2,2059,44905,19206,83746,38306
3,22149,10219.1,942,3440.15,31.8,56.8,11.4,20928,22149,7.57,5.61,22149,8743.9,0,52897,21289,99760,42124
4,22149,10231.0,484,3307.72,31.8,56.8,11.4,20928,22149,7.57,5.61,19378,9115.7,2771,50564,21307,95683,42269
5,22149,10485.0,484,3319.06,22.1,64.3,13.6,20928,22149,7.85,5.61,21502,9458.0,647,52878,22171,101545,44016
6,22149,10324.4,2018,3197.10,22.9,59.6,17.5,21351,22149,7.85,5.61,21351,9674.6,798,54351,21671,101032,42946
7,22149,10519.8,1695,3289.93,24.3,62.1,13.6,21351,22149,7.85,5.61,19302,9885.9,2848,49546,22000,93721,43736
8,22149,10312.6,497,3215.22,22.1,63.2,14.6,21351,22149,7.85,5.61,19014,9992.6,3135,48436,21539,91769,43000
9,22149,10715.4,475,3342.35,22.5,62.5,15.0,21351,22149,7.85,5.61,20303,10173.3,1846,50384,22724,92973,45050
10,22149,10679.2,462,3165.23,21.4,65.7,12.9,21351,22149,7.85,5.61,20403,10299.8,1746,50064,22340,96293,44541
11,23086,10783.0,1975,3250.46,27.9,58.6,13.6,23086,22149,7.85,5.61,23086,10420.6,0,56612,22847,113464,45464
12,23086,9960.8,551,3179.97,25.0,60.0,15.0,23086,22149,7.87,5.61,19500,10305.6,3586,47401,20541,89550,41005
13,23086,10363.6,458,3350.03,30.7,58.9,10.4,23086,22616,7.87,5.61,22616,10320.1,470,54557,21679,103884,43179
14,23086,10201.2,465,3449.41,31.4,59.6,8.9,23086,22616,7.89,5.61,17680,10290.4,5406,43604,21314,85156,42368
